 	121541707	0.161037305392267
e	72242950	0.0957186655407781
t	50431134	0.0668189885405865
a	50160580	0.0664605166365914
i	44266852	0.0586515916242502
o	44158557	0.0585081056109473
n	43034140	0.0570183035645004
r	38151841	0.0505494765709864
s	38109560	0.0504934561441112
h	28342331	0.0375523162001971
l	24274533	0.0321626664662169
d	22011889	0.0291647647432965
c	18122093	0.0240109596682566
u	15813769	0.0209525339960526
m	14703383	0.0194813223947107
f	12986055	0.0172059398908703
p	11621906	0.0153985037067335
g	10893551	0.0144334660298397
y	9530066	0.0126269096158939
w	9144788	0.0121164335622136
b	7938212	0.010517774529138
,	7721067	0.0102300671524479
v	6072600	0.00804592238222455
k	3687154	0.00488531352226539
T	2623904	0.00347655500484282
1	2406272	0.00318820237501568
A	2144255	0.00284104161276832
S	2092671	0.00277269512853345
0	2037723	0.00269989149531893
I	2036266	0.00269796103572817
C	1835858	0.00243242943266245
.	1766919	0.00234108835254715
2	1622635	0.00214991852990168
M	1423126	0.00188557806147708
9	1422765	0.00188509975268348
-	1406759	0.00186389252124227
B	1239256	0.00164195856596945
P	1207600	0.00160001578710509
x	1112429	0.00147391848462531
H	1101112	0.00145892396768041
"\"";"""	1020696	0.00135237637780309
4	996023	0.00131968576045029
8	994954	0.00131826938344101
5	972008	0.00128786696355784
D	931931	0.00123476673773819
W	925837	0.00122669246131667
3	917572	0.00121574170735806
)	911540	0.00120774957815317
(	910610	0.00120651736990375
R	887520	0.00117592415648518
6	820640	0.00108731115893501
F	814754	0.00107951247317574
N	805056	0.00106666305854892
L	804611	0.00106607345352634
G	781833	0.00103589362610114
E	764756	0.00101326736774043
7	743870	0.000985594355377495
%	688521	0.000912259415165107
z	626509	0.000830096299075375
O	623596	0.000826236704848945
j	602075	0.000797722345993124
J	581300	0.000770196403647059
q	524225	0.000694574590920144
U	486780	0.000644961646941881
;	480119	0.00063613612097475
K	451511	0.000598231805276256
V	354431	0.000469605163497387
&	341038	0.000451860039750535
/	266171	0.000352664625761468
:	216684	0.000287096572385789
$	202256	0.000267980120103285
Y	198873	0.000263497796976607
#	91987	0.000121878645419374
Z	90796	0.000120300623887044
Q	76291	0.000101082150061307
é	73474	9.73497515251403E-05
X	65583	8.68945307765097E-05
?	33578	4.44893425798399E-05
á	20189	2.67495186534156E-05
ü	14779	1.95815115250299E-05
ö	14363	1.90303302005552E-05
_	13276	1.75901039993435E-05
ó	12883	1.70693966423277E-05
í	12259	1.62426246556155E-05
!	11519	1.52621578765018E-05
ä	10572	1.40074253902575E-05
*	10248	1.35781399356185E-05
+	9573	1.2683795238454E-05
=	8606	1.14025636500715E-05
è	8313	1.10143518037468E-05
à	6400	8.47971268422704E-06
ê	6179	8.18689760559983E-06
ç	4897	6.4883051585406E-06
°	4836	6.40748289701906E-06
ø	4455	5.90267500128617E-06
ú	3964	5.25212204379312E-06
ã	3936	5.21502330079963E-06
É	3793	5.02555472051143E-06
ñ	3538	4.68769116824926E-06
ë	3286	4.35380248130782E-06
~	3010	3.98811487180053E-06
å	2918	3.86621900196477E-06
\\	2602	3.44753318818106E-06
ô	2583	3.42235904114976E-06
â	2535	3.35876119601805E-06
}	2430	3.21964090979245E-06
{	2093	2.77313103876362E-06
ß	1462	1.93708436630311E-06
^	1403	1.8589120149954E-06
Ö	1357	1.79796408007751E-06
ð	1309	1.73436623494581E-06
´	1282	1.69859244705923E-06
ï	1088	1.4415511563186E-06
î	885	1.17258526961577E-06
Á	875	1.15933571854667E-06
Å	643	8.51946133743436E-07
Ó	460	6.09479349178819E-07
Ü	441	5.8430520214752E-07
Ø	392	5.19382401908906E-07
Ä	236	3.12689405230872E-07
§	191	2.53066425419901E-07
µ	180	2.38491919243886E-07
Ð	37	4.90233389556876E-08
